masterUID,timeStamp,word,gameUID,name,points,winner
394879761235930453,2022-02-27 22:35,ken,1,Filip,3,False
394879761235930453,2022-02-27 22:35,ken,1,Matwiej,3,False
394879761235930453,2022-02-27 22:35,ken,1,Mikołaj,1,True
394879761235930453,2022-02-27 22:35,ken,2,Filip,1,True
394879761235930453,2022-02-27 22:35,ken,2,Matwiej,3,False
394879761235930453,2022-02-27 22:35,ken,2,Mikołaj,3,False
379214910547462195,2022-02-27 22:37,ken,1,Mikołaj,3,False
379214910547462195,2022-02-27 22:37,ken,1,Filip,1,True
379214910547462195,2022-02-27 22:37,ken,2,Mikołaj,2,True
379214910547462195,2022-02-27 22:37,ken,2,Filip,3,False
379214910547462195,2022-02-27 22:37,ken,3,Mikołaj,3,False
379214910547462195,2022-02-27 22:37,ken,3,Filip,2,True
